maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.032895,00:00:00,1535.34786,00:25:35,1595.981589,00:26:36,,3131.362344,,0
1,4,0.06432,00:00:00,548.42526,00:09:08,591.291569,00:09:51,,1139.781149,,0
1,6,0.254916,00:00:00,508.548462,00:08:28,544.624604,00:09:04,,1053.427982,,0
1,8,0.463016,00:00:00,506.938456,00:08:26,526.936987,00:08:46,,1034.338459,,0
1,10,0.657522,00:00:00,520.361039,00:08:40,552.36246,00:09:12,,1073.381021,,0
1,12,0.853022,00:00:00,501.011498,00:08:21,541.042178,00:09:01,,1042.906698,,0
1,14,1.044761,00:00:01,520.817122,00:08:40,544.615483,00:09:04,,1066.477366,,0
1,16,1.241014,00:00:01,501.856717,00:08:21,535.766603,00:08:55,,1038.864334,,0
1,18,1.442447,00:00:01,510.733868,00:08:30,542.758955,00:09:02,,1054.93527,,0
1,20,1.626655,00:00:01,508.118192,00:08:28,546.383399,00:09:06,,1056.128246,,0
1,22,1.831853,00:00:01,508.494298,00:08:28,540.44941,00:09:00,,1050.775561,,0
1,24,2.030716,00:00:02,512.333691,00:08:32,542.845169,00:09:02,,1057.209576,,0
4,2,0.036941,00:00:00,1534.692123,00:25:34,1573.596015,00:26:13,,3108.325079,,0
4,4,0.065534,00:00:00,540.219928,00:09:00,573.81821,00:09:33,,1114.103672,,0
4,6,0.258322,00:00:00,498.292574,00:08:18,538.931351,00:08:58,,1037.482247,,0
4,8,0.459852,00:00:00,506.316669,00:08:26,538.204968,00:08:58,,1044.981489,,0
4,10,0.65266,00:00:00,496.287487,00:08:16,540.978683,00:09:00,,1037.91883,,0
4,12,0.857902,00:00:00,499.775627,00:08:19,531.028072,00:08:51,,1031.661601,,0
4,14,1.054816,00:00:01,517.719071,00:08:37,548.297885,00:09:08,,1067.071772,,0
4,16,1.238557,00:00:01,494.25255,00:08:14,525.034615,00:08:45,,1020.525722,,0
4,18,1.442834,00:00:01,516.015343,00:08:36,546.850793,00:09:06,,1064.30897,,0
4,20,1.626809,00:00:01,492.060519,00:08:12,526.184783,00:08:46,,1019.872111,,0
4,22,1.837305,00:00:01,499.886433,00:08:19,549.411234,00:09:09,,1051.134972,,0
4,24,2.023453,00:00:02,512.846615,00:08:32,539.60496,00:08:59,,1054.475028,,0
7,2,0.036636,00:00:00,1530.913342,00:25:30,1571.632105,00:26:11,,3102.582083,,0
7,4,0.066021,00:00:00,543.310835,00:09:03,574.764617,00:09:34,,1118.141473,,0
7,6,0.252933,00:00:00,506.469851,00:08:26,530.430961,00:08:50,,1037.153745,,0
7,8,0.459571,00:00:00,519.052293,00:08:39,548.93307,00:09:08,,1068.444934,,0
7,10,0.659995,00:00:00,501.294429,00:08:21,530.066465,00:08:50,,1032.020889,,0
7,12,0.852245,00:00:00,498.07448,00:08:18,537.745935,00:08:57,,1036.67266,,0
7,14,1.053787,00:00:01,510.690971,00:08:30,543.715903,00:09:03,,1055.460661,,0
7,16,1.250377,00:00:01,503.626989,00:08:23,529.127629,00:08:49,,1034.004995,,0
7,18,1.438943,00:00:01,503.645575,00:08:23,529.51633,00:08:49,,1034.600848,,0
7,20,1.622219,00:00:01,505.849324,00:08:25,547.957922,00:09:07,,1055.429465,,0
7,22,1.821906,00:00:01,503.089032,00:08:23,535.595637,00:08:55,,1040.506575,,0
7,24,2.00999,00:00:02,509.534158,00:08:29,541.536927,00:09:01,,1053.081075,,0
