maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.016572,00:00:00,852.549176,00:14:12,890.337082,00:14:50,,1742.90283,,0
1,4,0.032946,00:00:00,475.312399,00:07:55,501.535502,00:08:21,,976.880847,,0
1,6,0.087502,00:00:00,461.039037,00:07:41,491.577791,00:08:11,,952.70433,,1
1,8,0.132944,00:00:00,468.962537,00:07:48,503.945337,00:08:23,,973.040818,,0
1,10,0.177584,00:00:00,463.83252,00:07:43,504.607175,00:08:24,,968.617279,,0
1,12,0.221204,00:00:00,480.317554,00:08:00,508.763412,00:08:28,,989.30217,,0
1,14,0.264046,00:00:00,472.372458,00:07:52,517.406076,00:08:37,,990.04258,,0
1,16,0.307237,00:00:00,488.71187,00:08:08,526.787284,00:08:46,,1015.806391,,0
1,18,0.348895,00:00:00,478.809106,00:07:58,507.479227,00:08:27,,986.637228,,0
1,20,0.390804,00:00:00,481.195464,00:08:01,516.024418,00:08:36,,997.610686,,0
1,22,0.434143,00:00:00,477.330566,00:07:57,505.00287,00:08:25,,982.767579,,0
1,24,0.482245,00:00:00,478.275371,00:07:58,506.549803,00:08:26,,985.307419,,0
4,2,0.016385,00:00:00,866.965044,00:14:26,905.829267,00:15:05,,1772.810696,,0
4,4,0.03306,00:00:00,466.897015,00:07:46,500.351669,00:08:20,,967.281744,,0
4,6,0.087439,00:00:00,475.597794,00:07:55,509.773693,00:08:29,,985.458926,,0
4,8,0.132235,00:00:00,468.093286,00:07:48,497.100608,00:08:17,,965.326129,,0
4,10,0.176401,00:00:00,475.471852,00:07:55,512.614316,00:08:32,,988.262569,,0
4,12,0.223361,00:00:00,469.036966,00:07:49,501.692058,00:08:21,,970.952385,,0
4,14,0.264475,00:00:00,469.682444,00:07:49,496.891932,00:08:16,,966.838851,,0
4,16,0.305948,00:00:00,461.940653,00:07:41,507.821525,00:08:27,,970.068126,,0
4,18,0.353146,00:00:00,468.067005,00:07:48,496.702004,00:08:16,,965.122155,,0
4,20,0.391691,00:00:00,472.538951,00:07:52,499.319088,00:08:19,,972.24973,,0
4,22,0.430483,00:00:00,463.811129,00:07:43,511.23606,00:08:31,,975.477672,,0
4,24,0.478127,00:00:00,470.190403,00:07:50,502.267215,00:08:22,,972.935745,,0
7,2,0.016251,00:00:00,856.219206,00:14:16,893.85009,00:14:53,,1750.085547,,0
7,4,0.033201,00:00:00,483.983669,00:08:04,520.062616,00:08:40,,1004.079486,,0
7,6,0.087303,00:00:00,467.434242,00:07:47,496.702116,00:08:16,,964.223661,,0
7,8,0.133133,00:00:00,480.561947,00:08:00,507.652379,00:08:27,,988.347459,,0
7,10,0.178683,00:00:00,474.672929,00:07:54,512.172856,00:08:32,,987.024468,,0
7,12,0.222532,00:00:00,471.897102,00:07:51,503.943332,00:08:23,,976.062966,,0
7,14,0.263577,00:00:00,466.192948,00:07:46,496.028101,00:08:16,,962.484626,,0
7,16,0.304339,00:00:00,479.818223,00:07:59,510.620942,00:08:30,,990.743504,,0
7,18,0.349819,00:00:00,476.417798,00:07:56,505.821602,00:08:25,,982.589219,,0
7,20,0.393069,00:00:00,473.657037,00:07:53,504.215943,00:08:24,,978.266049,,0
7,22,0.435485,00:00:00,462.985673,00:07:42,495.719779,00:08:15,,959.140937,,0
7,24,0.476699,00:00:00,466.593224,00:07:46,500.626325,00:08:20,,967.696248,,0
9,2,0.016431,00:00:00,870.066968,00:14:30,904.077063,00:15:04,,1774.160462,,0
9,4,0.033507,00:00:00,473.529768,00:07:53,506.866764,00:08:26,,980.430039,,0
9,6,0.086971,00:00:00,471.694729,00:07:51,500.938523,00:08:20,,972.720223,,0
9,8,0.131929,00:00:00,481.465339,00:08:01,513.728353,00:08:33,,995.325621,,0
9,10,0.178717,00:00:00,476.65642,00:07:56,512.116039,00:08:32,,988.951176,,0
9,12,0.221785,00:00:00,477.671631,00:07:57,511.473863,00:08:31,,989.367279,,0
9,14,0.265374,00:00:00,473.353618,00:07:53,507.647832,00:08:27,,981.266824,,0
9,16,0.304821,00:00:00,481.283477,00:08:01,510.003255,00:08:30,,991.591553,,0
9,18,0.351756,00:00:00,465.640137,00:07:45,499.166738,00:08:19,,965.158631,,0
9,20,0.391762,00:00:00,462.708509,00:07:42,492.891126,00:08:12,,955.991397,,0
9,22,0.432707,00:00:00,482.945026,00:08:02,518.716146,00:08:38,,1002.093879,,0
9,24,0.475706,00:00:00,479.862563,00:07:59,508.013422,00:08:28,,988.351691,,0
11,2,0.016477,00:00:00,862.852485,00:14:22,899.409179,00:14:59,,1762.278141,,0
11,4,0.033241,00:00:00,470.187536,00:07:50,515.272594,00:08:35,,985.493371,,0
11,6,0.088465,00:00:00,465.732494,00:07:45,500.545594,00:08:20,,966.366553,,0
11,8,0.132518,00:00:00,468.916543,00:07:48,501.97892,00:08:21,,971.027981,,0
11,10,0.179163,00:00:00,479.234173,00:07:59,512.92227,00:08:32,,992.335606,,0
11,12,0.220996,00:00:00,480.834952,00:08:00,518.815416,00:08:38,,999.871364,,0
11,14,0.265991,00:00:00,461.977265,00:07:41,492.091855,00:08:12,,954.335111,,0
11,16,0.308536,00:00:00,477.799428,00:07:57,506.830485,00:08:26,,984.938449,,0
11,18,0.349654,00:00:00,465.651717,00:07:45,495.929526,00:08:15,,961.930897,,0
11,20,0.393757,00:00:00,477.738077,00:07:57,511.446822,00:08:31,,989.578656,,0
11,22,0.436212,00:00:00,480.171388,00:08:00,508.822002,00:08:28,,989.429602,,0
11,24,0.481788,00:00:00,481.62211,00:08:01,513.775133,00:08:33,,995.879031,,0
13,2,0.01632,00:00:00,868.94421,00:14:28,910.320987,00:15:10,,1779.281517,,0
13,4,0.033223,00:00:00,466.155284,00:07:46,499.666293,00:08:19,,965.8548,,0
13,6,0.087703,00:00:00,484.613485,00:08:04,513.083799,00:08:33,,997.784987,,0
13,8,0.132831,00:00:00,478.317279,00:07:58,512.571772,00:08:32,,991.021882,,0
13,10,0.176298,00:00:00,464.644937,00:07:44,495.998751,00:08:16,,960.819986,,0
13,12,0.22061,00:00:00,468.550865,00:07:48,510.846626,00:08:30,,979.618101,,0
13,14,0.265884,00:00:00,465.571248,00:07:45,497.594046,00:08:17,,963.431178,,0
13,16,0.308622,00:00:00,476.258471,00:07:56,508.778919,00:08:28,,985.346012,,0
13,18,0.356229,00:00:00,472.856343,00:07:52,505.704328,00:08:25,,978.9169,,0
13,20,0.390848,00:00:00,469.933746,00:07:49,501.851121,00:08:21,,972.175715,,0
13,22,0.437473,00:00:00,468.035887,00:07:48,504.703962,00:08:24,,973.177322,,0
13,24,0.479107,00:00:00,474.526103,00:07:54,503.685013,00:08:23,,978.690223,,0
15,2,0.01615,00:00:00,871.967944,00:14:32,906.636655,00:15:06,,1778.620749,,0
15,4,0.033775,00:00:00,471.652552,00:07:51,500.619407,00:08:20,,972.305734,,0
15,6,0.087188,00:00:00,471.717147,00:07:51,502.038903,00:08:22,,973.843238,,0
15,8,0.132439,00:00:00,467.118283,00:07:47,500.646703,00:08:20,,967.897425,,0
15,10,0.176907,00:00:00,486.564786,00:08:06,521.540252,00:08:41,,1008.281945,,0
15,12,0.220952,00:00:00,468.969209,00:07:48,506.955493,00:08:26,,976.145654,,0
15,14,0.263396,00:00:00,465.452987,00:07:45,495.450219,00:08:15,,961.166602,,0
15,16,0.307173,00:00:00,480.634068,00:08:00,509.904824,00:08:29,,990.846065,,0
15,18,0.348178,00:00:00,480.188016,00:08:00,510.241319,00:08:30,,990.777513,,0
15,20,0.388433,00:00:00,472.005925,00:07:52,504.759747,00:08:24,,977.154105,,0
15,22,0.433491,00:00:00,474.309919,00:07:54,504.708391,00:08:24,,979.451801,,0
15,24,0.485268,00:00:00,472.839317,00:07:52,507.294311,00:08:27,,980.618896,,0
17,2,0.01623,00:00:00,852.339135,00:14:12,898.109011,00:14:58,,1750.464376,,0
17,4,0.033195,00:00:00,478.393895,00:07:58,513.585351,00:08:33,,992.012441,,0
