maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.005708,00:00:00,657.66354,00:10:57,706.314562,00:11:46,,1363.98381,,0
1,4,0.017268,00:00:00,453.744954,00:07:33,485.753623,00:08:05,,939.515845,,0
1,6,0.041634,00:00:00,443.907026,00:07:23,491.99245,00:08:11,,935.94111,,0
1,8,0.062896,00:00:00,462.911913,00:07:42,497.566364,00:08:17,,960.541173,,0
1,10,0.08442,00:00:00,466.361982,00:07:46,495.769675,00:08:15,,962.216077,,0
1,12,0.106948,00:00:00,463.734913,00:07:43,500.807725,00:08:20,,964.649586,,0
1,14,0.126942,00:00:00,476.046391,00:07:56,503.566913,00:08:23,,979.740246,,0
1,16,0.148419,00:00:00,452.798932,00:07:32,488.813632,00:08:08,,941.760983,,0
1,18,0.170791,00:00:00,474.116013,00:07:54,509.981198,00:08:29,,984.268002,,0
1,20,0.192283,00:00:00,462.600416,00:07:42,495.505037,00:08:15,,958.297736,,0
1,22,0.214929,00:00:00,457.617615,00:07:37,491.469085,00:08:11,,949.301629,,0
1,24,0.237491,00:00:00,466.815287,00:07:46,495.908351,00:08:15,,962.961129,,0
4,2,0.00577,00:00:00,668.002962,00:11:08,703.035443,00:11:43,,1371.044175,,0
4,4,0.017195,00:00:00,462.718151,00:07:42,496.120767,00:08:16,,958.856113,,0
4,6,0.042318,00:00:00,456.659617,00:07:36,493.319851,00:08:13,,950.021786,,0
4,8,0.063352,00:00:00,452.890901,00:07:32,487.660874,00:08:07,,940.615127,,0
4,10,0.084235,00:00:00,459.106862,00:07:39,488.56919,00:08:08,,947.760287,,0
4,12,0.107335,00:00:00,445.056321,00:07:25,479.614028,00:07:59,,924.777684,,0
4,14,0.127321,00:00:00,451.075219,00:07:31,495.89387,00:08:15,,947.09641,,0
4,16,0.149119,00:00:00,457.916167,00:07:37,496.68964,00:08:16,,954.754926,,0
4,18,0.171402,00:00:00,466.233769,00:07:46,499.162489,00:08:19,,965.56766,,0
4,20,0.195045,00:00:00,460.395058,00:07:40,495.213994,00:08:15,,955.804097,,0
4,22,0.214551,00:00:00,471.042631,00:07:51,499.007141,00:08:19,,970.264323,,0
4,24,0.236929,00:00:00,449.105036,00:07:29,480.89283,00:08:00,,930.234795,,0
7,2,0.005819,00:00:00,678.162185,00:11:18,720.035878,00:12:00,,1398.203882,,0
7,4,0.017335,00:00:00,460.381669,00:07:40,498.348222,00:08:18,,958.747226,,0
7,6,0.041177,00:00:00,456.279152,00:07:36,504.260208,00:08:24,,960.580537,,0
7,8,0.062962,00:00:00,452.608442,00:07:32,486.033989,00:08:06,,938.705393,,0
7,10,0.084394,00:00:00,458.547551,00:07:38,489.901149,00:08:09,,948.533094,,0
7,12,0.105843,00:00:00,449.362024,00:07:29,492.85584,00:08:12,,942.323707,,0
7,14,0.127218,00:00:00,454.845185,00:07:34,484.826013,00:08:04,,939.798416,,0
7,16,0.148567,00:00:00,465.046426,00:07:45,501.810635,00:08:21,,967.005628,,0
7,18,0.16996,00:00:00,459.421965,00:07:39,490.680994,00:08:10,,950.272919,,0
7,20,0.195711,00:00:00,454.113725,00:07:34,486.399587,00:08:06,,940.709023,,0
7,22,0.214456,00:00:00,458.735871,00:07:38,492.478037,00:08:12,,951.428364,,0
7,24,0.24076,00:00:00,460.796493,00:07:40,496.1077,00:08:16,,957.144953,,0
9,2,0.005723,00:00:00,671.883455,00:11:11,710.5518,00:11:50,,1382.440978,,0
9,4,0.017328,00:00:00,453.379177,00:07:33,485.805866,00:08:05,,939.202371,,0
9,6,0.041425,00:00:00,451.33926,00:07:31,488.048845,00:08:08,,939.42953,,0
9,8,0.063378,00:00:00,446.319307,00:07:26,481.397053,00:08:01,,927.779738,,0
9,10,0.084338,00:00:00,447.492524,00:07:27,477.016879,00:07:57,,924.593741,,1
9,12,0.106018,00:00:00,449.53201,00:07:29,478.348677,00:07:58,,927.986705,,0
9,14,0.12626,00:00:00,457.778197,00:07:37,490.736037,00:08:10,,948.640494,,0
9,16,0.148808,00:00:00,464.700124,00:07:44,495.146991,00:08:15,,959.995923,,0
9,18,0.171836,00:00:00,453.15863,00:07:33,485.701905,00:08:05,,939.032371,,0
9,20,0.193446,00:00:00,463.177149,00:07:43,504.384951,00:08:24,,967.755546,,0
9,22,0.219354,00:00:00,455.355919,00:07:35,493.034512,00:08:13,,948.609785,,0
9,24,0.236074,00:00:00,459.470369,00:07:39,493.941212,00:08:13,,953.647655,,0
11,2,0.005758,00:00:00,682.959257,00:11:22,718.654527,00:11:58,,1401.619542,,0
11,4,0.017196,00:00:00,462.668679,00:07:42,489.103044,00:08:09,,951.788919,,0
11,6,0.041417,00:00:00,449.574413,00:07:29,485.400796,00:08:05,,935.016626,,0
11,8,0.062978,00:00:00,449.055789,00:07:29,482.039403,00:08:02,,931.15817,,0
11,10,0.08823,00:00:00,449.264868,00:07:29,480.268376,00:08:00,,929.621474,,0
11,12,0.105552,00:00:00,450.453734,00:07:30,483.193316,00:08:03,,933.752602,,0
11,14,0.129927,00:00:00,452.718422,00:07:32,481.153412,00:08:01,,934.001761,,0
11,16,0.15087,00:00:00,457.31446,00:07:37,493.54384,00:08:13,,951.00917,,0
11,18,0.170939,00:00:00,448.477701,00:07:28,492.697285,00:08:12,,941.345925,,0
11,20,0.192147,00:00:00,465.463828,00:07:45,500.756996,00:08:20,,966.412971,,0
11,22,0.215962,00:00:00,455.28999,00:07:35,487.291376,00:08:07,,942.797328,,0
11,24,0.238261,00:00:00,451.738926,00:07:31,484.858685,00:08:04,,936.835872,,0
13,2,0.005772,00:00:00,670.126458,00:11:10,703.650535,00:11:43,,1373.782765,,0
13,4,0.017428,00:00:00,457.066177,00:07:37,491.521008,00:08:11,,948.604613,,0
13,6,0.041978,00:00:00,460.859849,00:07:40,494.310278,00:08:14,,955.212105,,0
13,8,0.064668,00:00:00,459.288469,00:07:39,496.233471,00:08:16,,955.586608,,0
13,10,0.084452,00:00:00,461.568315,00:07:41,493.893341,00:08:13,,955.546108,,0
13,12,0.105356,00:00:00,467.027981,00:07:47,498.632886,00:08:18,,965.766223,,0
13,14,0.146759,00:00:00,457.661503,00:07:37,488.48632,00:08:08,,946.294582,,0
13,16,0.148952,00:00:00,447.544639,00:07:27,482.237207,00:08:02,,929.930798,,0
13,18,0.173422,00:00:00,453.663931,00:07:33,484.684675,00:08:04,,938.522028,,0
13,20,0.19278,00:00:00,453.909222,00:07:33,487.731249,00:08:07,,941.833251,,0
13,22,0.21396,00:00:00,464.813527,00:07:44,496.928681,00:08:16,,961.956168,,0
13,24,0.24414,00:00:00,456.781912,00:07:36,489.667302,00:08:09,,946.693354,,0
15,2,0.005778,00:00:00,673.966877,00:11:13,709.239078,00:11:49,,1383.211733,,0
15,4,0.017347,00:00:00,462.031983,00:07:42,493.6068,00:08:13,,955.65613,,0
15,6,0.042228,00:00:00,446.929927,00:07:26,480.039806,00:08:00,,927.011961,,0
15,8,0.064483,00:00:00,453.517261,00:07:33,487.700611,00:08:07,,941.282355,,0
15,10,0.085114,00:00:00,462.782281,00:07:42,493.011621,00:08:13,,955.879016,,0
15,12,0.105962,00:00:00,447.538325,00:07:27,483.415313,00:08:03,,931.0596,,0
15,14,0.136503,00:00:00,447.502254,00:07:27,478.563177,00:07:58,,926.201934,,0
15,16,0.149992,00:00:00,462.54525,00:07:42,495.013059,00:08:15,,957.708301,,0
15,18,0.171125,00:00:00,454.107238,00:07:34,488.549535,00:08:08,,942.827898,,0
15,20,0.193456,00:00:00,454.082977,00:07:34,490.209655,00:08:10,,944.486088,,0
15,22,0.215429,00:00:00,450.295675,00:07:30,495.402886,00:08:15,,945.91399,,0
15,24,0.238869,00:00:00,452.651079,00:07:32,482.472078,00:08:02,,935.362026,,0
17,2,0.005708,00:00:00,691.394437,00:11:31,722.996662,00:12:03,,1414.396807,,0
17,4,0.017375,00:00:00,452.870937,00:07:32,486.991566,00:08:06,,939.879878,,0
17,6,0.041354,00:00:00,452.469472,00:07:32,487.989163,00:08:07,,940.499989,,0
17,8,0.063259,00:00:00,453.21258,00:07:33,482.390478,00:08:02,,935.666317,,0
17,10,0.084412,00:00:00,445.969849,00:07:25,478.722834,00:07:58,,924.777095,,0
17,12,0.107139,00:00:00,448.680509,00:07:28,487.990011,00:08:07,,936.777659,,0
