config,geometry,wall_seconds,finished_at
patch_optimised_init,Hex72,25.1,2026-07-19T22:51:50.589441
patch_optimised_init,Hex243,39.2,2026-07-19T22:52:29.820164
patch_optimised_init,Poly264,164.2,2026-07-19T22:55:14.029136
patch_optimised_init,Tet137,564.8,2026-07-19T23:04:38.781340
patch_optimised_init,Tet298,321.2,2026-07-19T23:09:59.987643
patch_optimised_init,Tet427,197.4,2026-07-19T23:13:17.361398
patch_optimised_init,Poly468,200.9,2026-07-19T23:16:38.303121
patch_optimised_init,Hex576,109.4,2026-07-19T23:18:27.712247
patch_optimised_init,Poly940,305.9,2026-07-19T23:23:33.619291
patch_optimised_init,Hex1125,171.5,2026-07-19T23:26:25.089945
patch_optimised_init,Tet1331,554.6,2026-07-19T23:35:39.670973
patch_optimised_init,Tet1820,2604.3,2026-07-20T00:19:03.934526
patch_optimised_init,Hex1944,331.2,2026-07-20T00:24:35.134446
patch_optimised_init,Poly1560,541.2,2026-07-20T00:33:36.367933
patch_naive_init,Hex72,48.2,2026-07-20T00:34:24.603170
patch_naive_init,Hex243,78.9,2026-07-20T00:35:43.484645
patch_naive_init,Poly264,485.1,2026-07-20T00:43:48.564699
patch_naive_init,Tet137,3154.7,2026-07-20T01:36:23.309378
patch_naive_init,Tet298,1440.8,2026-07-20T02:00:24.154558
patch_naive_init,Tet427,735.7,2026-07-20T02:12:39.860031
patch_naive_init,Poly468,588.5,2026-07-20T02:22:28.340855
patch_naive_init,Hex576,278.3,2026-07-20T02:27:06.681352
patch_naive_init,Poly940,877.1,2026-07-20T02:41:43.792631
patch_naive_init,Hex1125,441.3,2026-07-20T02:49:05.105730
patch_naive_init,Tet1331,1924.9,2026-07-20T03:21:10.006859
patch_naive_init,Tet1820,12021.7,2026-07-20T06:41:31.727395
patch_naive_init,Hex1944,1309.7,2026-07-20T07:03:21.466688
patch_naive_init,Poly1560,1572.5,2026-07-20T07:29:33.932862
