config,geometry,wall_seconds,finished_at
patch_full,Hex72,25.9,2026-07-19T17:09:10.204418
patch_full,Hex243,40.7,2026-07-19T17:09:50.911633
patch_full,Poly264,164.3,2026-07-19T17:12:35.191104
patch_full,Tet137,615.5,2026-07-19T17:22:50.718297
patch_full,Tet298,315.7,2026-07-19T17:28:06.404188
patch_full,Tet427,197.7,2026-07-19T17:31:24.075758
patch_full,Poly468,203.5,2026-07-19T17:34:47.526255
patch_full,Hex576,111.6,2026-07-19T17:36:39.145122
patch_full,Poly940,312.4,2026-07-19T17:41:51.571151
patch_full,Hex1125,174.8,2026-07-19T17:44:46.338172
patch_full,Tet1331,558.4,2026-07-19T17:54:04.746500
patch_full,Tet1820,2581.8,2026-07-19T18:37:06.592955
patch_full,Hex1944,347.7,2026-07-19T18:42:54.258519
patch_full,Poly1560,545.9,2026-07-19T18:52:00.184204
