config,geometry,wall_seconds,finished_at
patch_noshort,Hex72,3332.4,2026-07-25T10:24:44.915741
patch_noshort,Hex243,4198.9,2026-07-25T11:34:43.772346
patch_noshort,Poly264,4398.8,2026-07-25T12:48:02.619148
patch_noshort,Tet137,4503.3,2026-07-26T00:09:28.145118
patch_noshort,Tet298,4917.4,2026-07-26T01:31:25.568910
patch_noshort,Tet427,5439.2,2026-07-26T03:02:04.794727
patch_noshort,Poly468,4732.8,2026-07-26T04:20:57.589577
patch_noshort,Hex576,5225.6,2026-07-26T05:48:03.221702
patch_noshort,Poly940,5751.3,2026-07-26T07:23:54.534438
patch_noshort,Hex1125,5987.2,2026-07-26T09:03:41.719960
patch_noshort,Tet1331,8248.9,2026-07-26T11:21:10.624028
patch_noshort,Tet1820,8333.4,2026-07-26T13:40:04.071612
patch_noshort,Hex1944,7630.6,2026-07-26T15:47:14.629913
patch_noshort,Poly1560,6799.3,2026-07-26T17:40:33.921977
standard_ascg,Hex72,2495.5,2026-07-26T18:22:09.444345
standard_ascg,Hex243,3061.1,2026-07-26T19:13:10.507950
standard_ascg,Poly264,3478.4,2026-07-26T20:11:08.892010
standard_ascg,Tet137,3217.6,2026-07-26T21:04:46.465101
standard_ascg,Tet298,3853.1,2026-07-26T22:08:59.522433
standard_ascg,Tet427,4145.7,2026-07-26T23:18:05.210604
standard_ascg,Poly468,3622.7,2026-07-27T00:18:27.927209
standard_ascg,Hex576,4117.2,2026-07-27T01:27:05.096482
standard_ascg,Poly940,4572.4,2026-07-27T02:43:17.504701
standard_ascg,Hex1125,4946.2,2026-07-27T04:05:43.672346
standard_ascg,Tet1331,6381.2,2026-07-27T05:52:04.866167
standard_ascg,Tet1820,6872.8,2026-07-27T16:57:54.358274
standard_ascg,Hex1944,6660.4,2026-07-27T18:48:54.774325
standard_ascg,Poly1560,5566.3,2026-07-27T20:21:41.115074
