geometry,t_standard,std_standard,t_noshort,std_noshort,t_full,std_full,t_octree_pooled,shortcut_saving_pct,shortcut_saving_err,search_saving_pct,search_saving_err,mem_factor_noshort,init_factor_noshort
Tet137,71.0663,0.2682,132.204,1.3448,58.4977,0.7574,89.2158,55.75,0.73,17.69,1.11,17.46,9.76
Tet298,89.8859,0.3641,139.2865,0.6903,79.8214,0.2353,101.9356,42.69,0.33,11.2,0.44,9.09,7.91
Tet427,95.5312,0.6539,156.8716,1.0094,83.4554,0.4774,111.5252,46.8,0.46,12.64,0.78,8.42,5.76
Tet1331,152.4408,1.0442,222.8279,0.4917,113.1496,1.2528,163.6085,49.22,0.57,25.77,0.97,13.85,6.94
Tet1820,155.1458,1.658,207.6533,1.555,120.6158,1.4624,187.0229,41.91,0.83,22.26,1.26,12.53,6.21
Hex72,42.2973,0.1168,84.2048,0.7723,36.7184,0.0629,82.0805,56.39,0.41,13.19,0.28,8.36,8.45
Hex243,62.5934,0.6884,118.5393,1.0781,53.1532,0.1208,90.2786,55.16,0.42,15.08,0.95,8.22,6.93
Hex576,87.0126,0.6954,141.1011,0.3897,76.6792,0.2575,117.645,45.66,0.24,11.88,0.76,8.49,8.01
Hex1125,102.7717,0.5273,151.4352,1.2016,87.4999,0.5503,144.1289,42.22,0.59,14.86,0.69,8.4,7.13
Hex1944,139.6998,0.3757,183.8359,2.297,107.2056,1.3066,194.0782,41.68,1.02,23.26,0.96,9.75,6.5
Poly264,76.4877,0.195,120.1943,0.7182,69.4675,0.1421,96.8892,42.2,0.37,9.18,0.3,8.11,9.24
Poly468,75.3807,0.2968,129.0754,1.4501,62.4961,0.6516,104.416,51.58,0.74,17.09,0.92,12.89,8.77
Poly940,98.4655,0.3053,154.0591,1.4188,79.3164,0.3257,129.5027,48.52,0.52,19.45,0.41,11.96,7.09
Poly1560,108.5772,0.5717,165.7714,1.2771,90.3365,1.4476,167.8282,45.51,0.97,16.8,1.4,12.54,8.39
