geometry,Dmax,init_opt_s,init_opt_std,init_naive_s,init_naive_std,factor,factor_err,storage_MB,storage_identical
Hex1125,1,4.3859,0.03109,15.22582,0.09521,3.472,0.033,6880.75,True
Hex1125,2,0.70996,0.00928,1.96021,0.04839,2.761,0.077,678.726,True
Hex1125,3,0.37037,0.00096,0.91434,0.08599,2.469,0.232,263.961,True
Hex1125,4,0.39686,0.00083,0.797,0.05915,2.008,0.149,194.323,True
Hex1125,5,0.40605,0.00677,0.78464,0.01786,1.932,0.055,190.878,True
Hex1944,1,9.65349,0.08709,50.85011,0.06419,5.268,0.048,15323.8,True
Hex1944,2,1.53939,0.02841,5.6908,0.03654,3.697,0.072,1636.4,True
Hex1944,3,0.69944,0.001,2.07787,0.17098,2.971,0.244,475.409,True
Hex1944,4,0.66144,0.00101,1.53264,0.03202,2.317,0.049,352.962,True
Hex1944,5,0.66262,0.00108,1.96505,0.07309,2.966,0.11,343.827,True
Hex243,1,0.63048,0.02066,2.22427,0.00587,3.528,0.116,1015.01,True
Hex243,2,0.08582,0.00081,0.22648,0.001,2.639,0.028,78.7354,True
Hex243,3,0.06925,0.00066,0.15225,0.00089,2.198,0.025,46.7179,True
Hex243,4,0.07018,0.00052,0.1361,0.00077,1.939,0.018,37.2927,True
Hex243,5,0.07124,0.00029,0.13649,0.00067,1.916,0.012,37.0774,True
Hex576,1,2.79021,0.03594,9.93293,0.07447,3.56,0.053,4552.1,True
Hex576,2,0.32379,0.00612,0.90344,0.00819,2.79,0.058,307.52,True
Hex576,3,0.20558,0.00226,0.52285,0.03203,2.543,0.158,162.184,True
Hex576,4,0.20734,0.00064,0.41372,0.00803,1.995,0.039,110.156,True
Hex576,5,0.22122,0.00296,0.41793,0.0044,1.889,0.032,107.472,True
Hex72,1,0.32769,0.00871,1.23871,0.00291,3.78,0.101,569.372,True
Hex72,2,0.05594,0.00075,0.19575,0.01143,3.5,0.21,80.7194,True
Hex72,3,0.02655,0.00125,0.0632,0.00085,2.38,0.116,22.4809,True
Hex72,4,0.02491,0.00044,0.05183,0.00322,2.081,0.134,15.8837,True
Hex72,5,0.02542,0.00026,0.05169,0.00181,2.034,0.074,16.0232,True
