mode,geometry,Dmax,run,init_s
naive,Hex1125,1,1,15.1877
naive,Hex1125,1,2,15.5599
naive,Hex1125,1,3,15.1614
naive,Hex1125,1,4,15.1968
naive,Hex1125,1,5,15.2336
naive,Hex1125,1,6,15.1148
naive,Hex1125,1,7,15.1544
naive,Hex1125,1,8,15.2202
naive,Hex1125,1,9,15.2522
naive,Hex1125,1,10,15.2675
naive,Hex1125,1,11,15.1859
naive,Hex1125,1,12,15.2974
naive,Hex1125,1,13,15.1488
naive,Hex1125,1,14,15.2446
naive,Hex1125,1,15,15.2008
naive,Hex1125,1,16,15.3052
naive,Hex1125,1,17,15.1841
naive,Hex1125,1,18,15.2286
naive,Hex1125,1,19,15.255
naive,Hex1125,1,20,15.1176
naive,Hex1125,2,1,1.97967
naive,Hex1125,2,2,1.9331
naive,Hex1125,2,3,1.95406
naive,Hex1125,2,4,1.94984
naive,Hex1125,2,5,1.93322
naive,Hex1125,2,6,2.14879
naive,Hex1125,2,7,1.94244
naive,Hex1125,2,8,1.9546
naive,Hex1125,2,9,1.93137
naive,Hex1125,2,10,1.94631
naive,Hex1125,2,11,1.94123
naive,Hex1125,2,12,1.95366
naive,Hex1125,2,13,1.93121
naive,Hex1125,2,14,1.96614
naive,Hex1125,2,15,1.93728
naive,Hex1125,2,16,1.94516
naive,Hex1125,2,17,1.94544
naive,Hex1125,2,18,1.9458
naive,Hex1125,2,19,2.01506
naive,Hex1125,2,20,1.94984
naive,Hex1125,3,1,0.871787
naive,Hex1125,3,2,0.867983
naive,Hex1125,3,3,0.869159
naive,Hex1125,3,4,0.888163
naive,Hex1125,3,5,0.879925
naive,Hex1125,3,6,0.878467
naive,Hex1125,3,7,0.880851
naive,Hex1125,3,8,0.877885
naive,Hex1125,3,9,1.11198
naive,Hex1125,3,10,0.881095
naive,Hex1125,3,11,0.880678
naive,Hex1125,3,12,0.87635
naive,Hex1125,3,13,1.11245
naive,Hex1125,3,14,0.879743
naive,Hex1125,3,15,0.879584
naive,Hex1125,3,16,0.880254
naive,Hex1125,3,17,1.11607
naive,Hex1125,3,18,0.882767
naive,Hex1125,3,19,0.886592
naive,Hex1125,3,20,0.884934
naive,Hex1125,4,1,0.96475
naive,Hex1125,4,2,0.77531
naive,Hex1125,4,3,0.774188
naive,Hex1125,4,4,0.771909
naive,Hex1125,4,5,0.77609
naive,Hex1125,4,6,0.775964
naive,Hex1125,4,7,0.774581
naive,Hex1125,4,8,0.773485
naive,Hex1125,4,9,0.848042
naive,Hex1125,4,10,0.775923
naive,Hex1125,4,11,0.776965
naive,Hex1125,4,12,0.776434
naive,Hex1125,4,13,0.773753
naive,Hex1125,4,14,0.770374
naive,Hex1125,4,15,0.774543
naive,Hex1125,4,16,0.774506
naive,Hex1125,4,17,0.773977
naive,Hex1125,4,18,0.961447
naive,Hex1125,4,19,0.772634
naive,Hex1125,4,20,0.77504
naive,Hex1125,5,1,0.778527
naive,Hex1125,5,2,0.85479
naive,Hex1125,5,3,0.782514
naive,Hex1125,5,4,0.779616
naive,Hex1125,5,5,0.781621
naive,Hex1125,5,6,0.778151
naive,Hex1125,5,7,0.778197
naive,Hex1125,5,8,0.780464
naive,Hex1125,5,9,0.799776
naive,Hex1125,5,10,0.776956
naive,Hex1125,5,11,0.780539
naive,Hex1125,5,12,0.778887
naive,Hex1125,5,13,0.778332
naive,Hex1125,5,14,0.77842
naive,Hex1125,5,15,0.775441
naive,Hex1125,5,16,0.800456
naive,Hex1125,5,17,0.777522
naive,Hex1125,5,18,0.775879
naive,Hex1125,5,19,0.780238
naive,Hex1125,5,20,0.776486
naive,Hex1944,1,1,50.7753
naive,Hex1944,1,2,50.8509
naive,Hex1944,1,3,50.8139
naive,Hex1944,1,4,50.9841
naive,Hex1944,1,5,50.7826
naive,Hex1944,1,6,50.9828
naive,Hex1944,1,7,50.8218
naive,Hex1944,1,8,50.8357
naive,Hex1944,1,9,50.8744
naive,Hex1944,1,10,50.8688
naive,Hex1944,1,11,50.8287
naive,Hex1944,1,12,50.8425
naive,Hex1944,1,13,50.7922
naive,Hex1944,1,14,50.7975
naive,Hex1944,1,15,50.8812
naive,Hex1944,1,16,50.8141
naive,Hex1944,1,17,50.8188
naive,Hex1944,1,18,50.978
naive,Hex1944,1,19,50.8627
naive,Hex1944,1,20,50.7962
naive,Hex1944,2,1,5.80356
naive,Hex1944,2,2,5.69734
naive,Hex1944,2,3,5.68511
naive,Hex1944,2,4,5.72823
naive,Hex1944,2,5,5.69488
naive,Hex1944,2,6,5.71727
naive,Hex1944,2,7,5.66052
naive,Hex1944,2,8,5.66907
naive,Hex1944,2,9,5.70679
naive,Hex1944,2,10,5.68167
naive,Hex1944,2,11,5.73865
naive,Hex1944,2,12,5.68802
naive,Hex1944,2,13,5.64895
naive,Hex1944,2,14,5.67377
naive,Hex1944,2,15,5.68319
naive,Hex1944,2,16,5.69844
naive,Hex1944,2,17,5.65166
naive,Hex1944,2,18,5.67545
naive,Hex1944,2,19,5.64722
naive,Hex1944,2,20,5.66621
naive,Hex1944,3,1,1.99322
naive,Hex1944,3,2,1.99018
naive,Hex1944,3,3,1.99629
naive,Hex1944,3,4,1.99724
naive,Hex1944,3,5,2.40219
naive,Hex1944,3,6,1.9855
naive,Hex1944,3,7,2.40427
naive,Hex1944,3,8,1.99382
naive,Hex1944,3,9,2.43795
naive,Hex1944,3,10,2.0099
naive,Hex1944,3,11,1.99043
naive,Hex1944,3,12,1.99231
naive,Hex1944,3,13,1.99523
naive,Hex1944,3,14,1.99624
naive,Hex1944,3,15,1.9878
naive,Hex1944,3,16,2.39854
naive,Hex1944,3,17,1.99224
naive,Hex1944,3,18,1.99698
naive,Hex1944,3,19,1.99789
naive,Hex1944,3,20,1.99924
naive,Hex1944,4,1,1.52666
naive,Hex1944,4,2,1.52408
naive,Hex1944,4,3,1.66766
naive,Hex1944,4,4,1.52333
naive,Hex1944,4,5,1.52801
naive,Hex1944,4,6,1.51968
naive,Hex1944,4,7,1.525
naive,Hex1944,4,8,1.52397
naive,Hex1944,4,9,1.52113
naive,Hex1944,4,10,1.52985
naive,Hex1944,4,11,1.52307
naive,Hex1944,4,12,1.52483
naive,Hex1944,4,13,1.53567
naive,Hex1944,4,14,1.52463
naive,Hex1944,4,15,1.52343
naive,Hex1944,4,16,1.52509
naive,Hex1944,4,17,1.52355
naive,Hex1944,4,18,1.52562
naive,Hex1944,4,19,1.53435
naive,Hex1944,4,20,1.5232
naive,Hex1944,5,1,1.94543
naive,Hex1944,5,2,1.95693
naive,Hex1944,5,3,1.95289
naive,Hex1944,5,4,1.95314
naive,Hex1944,5,5,1.94279
naive,Hex1944,5,6,1.94622
naive,Hex1944,5,7,1.95509
naive,Hex1944,5,8,1.95484
naive,Hex1944,5,9,1.94949
naive,Hex1944,5,10,1.94398
naive,Hex1944,5,11,1.93998
naive,Hex1944,5,12,2.27446
naive,Hex1944,5,13,1.94873
naive,Hex1944,5,14,1.94331
naive,Hex1944,5,15,1.96208
naive,Hex1944,5,16,1.9401
naive,Hex1944,5,17,1.95282
naive,Hex1944,5,18,1.95351
naive,Hex1944,5,19,1.94291
naive,Hex1944,5,20,1.94233
naive,Hex243,1,1,2.22463
naive,Hex243,1,2,2.23193
naive,Hex243,1,3,2.21972
naive,Hex243,1,4,2.22842
naive,Hex243,1,5,2.22018
naive,Hex243,1,6,2.23403
naive,Hex243,1,7,2.22557
naive,Hex243,1,8,2.22955
naive,Hex243,1,9,2.2302
naive,Hex243,1,10,2.22686
naive,Hex243,1,11,2.20951
naive,Hex243,1,12,2.22397
naive,Hex243,1,13,2.22631
naive,Hex243,1,14,2.22439
naive,Hex243,1,15,2.21677
naive,Hex243,1,16,2.22046
naive,Hex243,1,17,2.21798
naive,Hex243,1,18,2.22358
naive,Hex243,1,19,2.22139
naive,Hex243,1,20,2.22996
naive,Hex243,2,1,0.227678
naive,Hex243,2,2,0.226691
naive,Hex243,2,3,0.227103
naive,Hex243,2,4,0.225471
naive,Hex243,2,5,0.227162
naive,Hex243,2,6,0.226361
naive,Hex243,2,7,0.225265
naive,Hex243,2,8,0.224524
naive,Hex243,2,9,0.226041
naive,Hex243,2,10,0.226013
naive,Hex243,2,11,0.227709
naive,Hex243,2,12,0.225327
naive,Hex243,2,13,0.227943
naive,Hex243,2,14,0.227025
naive,Hex243,2,15,0.225552
naive,Hex243,2,16,0.225599
naive,Hex243,2,17,0.227854
naive,Hex243,2,18,0.227369
naive,Hex243,2,19,0.225931
naive,Hex243,2,20,0.226898
naive,Hex243,3,1,0.151596
naive,Hex243,3,2,0.150835
naive,Hex243,3,3,0.152604
naive,Hex243,3,4,0.151854
naive,Hex243,3,5,0.15192
naive,Hex243,3,6,0.151396
naive,Hex243,3,7,0.152637
naive,Hex243,3,8,0.152538
naive,Hex243,3,9,0.153402
naive,Hex243,3,10,0.152815
naive,Hex243,3,11,0.15265
naive,Hex243,3,12,0.152294
naive,Hex243,3,13,0.151883
naive,Hex243,3,14,0.151832
naive,Hex243,3,15,0.151944
naive,Hex243,3,16,0.151756
naive,Hex243,3,17,0.151569
naive,Hex243,3,18,0.155069
naive,Hex243,3,19,0.151709
