geometry,Dmax,run,unique_queries,queries,outside,psi,single_face,angular,displacement,init_s,host_s
Hex1125,1,1,996805,997227,0,905310,0,91495,422,4.48428,0.262885
Hex1125,1,2,996751,997162,0,905624,0,91127,411,4.58368,0.273965
Hex1125,1,3,996646,997049,0,905355,0,91291,403,4.52733,0.284159
Hex1125,1,4,996638,997082,0,905427,0,91211,444,4.58738,0.275567
Hex1125,1,5,996760,997211,0,905050,0,91710,451,4.42433,0.260604
Hex1125,1,6,996807,997178,0,905097,0,91710,371,4.4136,0.271934
Hex1125,1,7,996709,997119,0,904974,0,91735,410,4.43128,0.25892
Hex1125,1,8,996743,997152,0,905438,0,91305,409,4.43439,0.258985
Hex1125,1,9,996779,997245,0,905460,0,91319,466,4.47122,0.273694
Hex1125,1,10,996791,997213,0,905428,0,91363,422,4.45748,0.259572
Hex1125,1,11,996860,997279,0,905439,0,91421,419,4.41494,0.272418
Hex1125,1,12,996683,997111,0,905283,0,91400,428,4.42449,0.372273
Hex1125,1,13,996868,997309,0,905352,0,91516,441,4.44803,0.261121
Hex1125,1,14,996717,997173,0,904949,0,91768,456,4.49408,0.259153
Hex1125,1,15,996753,997215,0,905628,0,91125,462,4.49121,0.262453
Hex1125,1,16,996722,997153,0,905044,0,91678,431,4.5496,0.281124
Hex1125,1,17,996708,997109,0,905631,0,91077,401,4.5035,0.263131
Hex1125,1,18,996812,997239,0,905875,0,90937,427,4.50877,0.259242
Hex1125,1,19,996740,997146,0,905521,0,91219,406,4.4484,0.258551
Hex1125,1,20,996724,997181,0,905316,0,91408,457,4.48699,0.258397
Hex1125,2,1,996805,997184,0,567886,426931,1988,379,0.814872,0.198201
Hex1125,2,2,996751,997123,0,566745,428002,2004,372,0.719162,0.196631
Hex1125,2,3,996646,997027,0,566948,427804,1894,381,0.720626,0.194669
Hex1125,2,4,996638,997010,0,567428,427313,1897,372,0.726887,0.196598
Hex1125,2,5,996760,997167,0,566478,428274,2008,407,0.718453,0.202568
Hex1125,2,6,996807,997151,0,567850,426999,1958,344,0.729822,0.198389
Hex1125,2,7,996709,997081,0,566711,428036,1962,372,0.717909,0.195362
Hex1125,2,8,996743,997119,0,567082,427709,1952,376,0.722165,0.211321
Hex1125,2,9,996779,997177,0,567681,427230,1868,398,0.720413,0.196167
Hex1125,2,10,996791,997182,0,568205,426705,1881,391,0.718953,0.203397
Hex1125,2,11,996860,997234,0,567345,427536,1979,374,0.719553,0.211041
Hex1125,2,12,996683,997071,0,566698,428027,1958,388,0.71884,0.193509
Hex1125,2,13,996868,997242,0,568083,426769,2016,374,0.724764,0.193718
Hex1125,2,14,996717,997102,0,567593,427274,1850,385,0.719554,0.208262
Hex1125,2,15,996753,997172,0,566933,427906,1914,419,0.720097,0.213597
Hex1125,2,16,996722,997119,0,567168,427586,1968,397,0.723819,0.194185
Hex1125,2,17,996708,997067,0,566929,427845,1934,359,0.717568,0.208638
Hex1125,2,18,996812,997213,0,567156,427746,1910,401,0.718566,0.195189
Hex1125,2,19,996740,997140,0,566479,428334,1927,400,0.717663,0.197778
Hex1125,2,20,996724,997118,0,567680,427088,1956,394,0.714439,0.196004
Hex1125,3,1,996805,997183,0,670011,324836,1958,378,0.379753,0.232135
Hex1125,3,2,996751,997125,0,669846,324914,1991,374,0.372881,0.240276
Hex1125,3,3,996646,997022,0,669363,325423,1860,376,0.375724,0.237778
Hex1125,3,4,996638,997009,0,669496,325271,1871,371,0.373814,0.238941
Hex1125,3,5,996760,997166,0,669941,324835,1984,406,0.374027,0.239729
Hex1125,3,6,996807,997146,0,669954,324921,1932,339,0.374852,0.234589
Hex1125,3,7,996709,997077,0,669837,324939,1933,368,0.374047,0.228566
Hex1125,3,8,996743,997112,0,669465,325347,1931,369,0.374698,0.236224
Hex1125,3,9,996779,997177,0,670629,324298,1852,398,0.373259,0.233639
Hex1125,3,10,996791,997180,0,670908,324035,1848,389,0.373901,0.238481
Hex1125,3,11,996860,997227,0,670529,324383,1948,367,0.374243,0.228289
Hex1125,3,12,996683,997074,0,670136,324607,1940,391,0.373109,0.240244
Hex1125,3,13,996868,997239,0,670094,324784,1990,371,0.374614,0.239743
Hex1125,3,14,996717,997089,0,668977,325904,1836,372,0.372618,0.2391
Hex1125,3,15,996753,997169,0,669470,325399,1884,416,0.374133,0.238542
Hex1125,3,16,996722,997112,0,668910,325880,1932,390,0.374099,0.234599
Hex1125,3,17,996708,997063,0,670055,324745,1908,355,0.373987,0.238017
Hex1125,3,18,996812,997205,0,669898,325019,1895,393,0.373985,0.225814
Hex1125,3,19,996740,997138,0,670067,324759,1914,398,0.374158,0.234222
Hex1125,3,20,996724,997114,0,669461,325330,1933,390,0.375087,0.238217
Hex1125,4,1,996805,997191,0,442085,552725,1995,386,0.400291,0.185523
Hex1125,4,2,996751,997132,0,441311,553448,1992,381,0.399584,0.184878
Hex1125,4,3,996646,997035,0,441489,553275,1882,389,0.400457,0.183558
Hex1125,4,4,996638,997019,0,441395,553349,1894,381,0.399414,0.184879
Hex1125,4,5,996760,997163,0,441908,552853,1999,403,0.400069,0.18539
