geometry,Dmax,Nfaces,run,host_s,init_s,storage_MB
Hex1125,4,1,1,1.30046,0.015913,0.225432
Hex1125,4,1,2,1.30131,0.015079,0.225432
Hex1125,4,1,3,1.30199,0.015261,0.225432
Hex1125,4,1,4,1.29364,0.015402,0.225432
Hex1125,4,1,5,1.2907,0.015961,0.225432
Hex1125,4,1,6,1.29314,0.015374,0.225432
Hex1125,4,1,7,1.29003,0.015568,0.225432
Hex1125,4,1,8,1.29275,0.015048,0.225432
Hex1125,4,1,9,1.29734,0.014926,0.225432
Hex1125,4,1,10,1.29527,0.015189,0.225432
Hex1125,4,1,11,1.29307,0.014974,0.225432
Hex1125,4,1,12,1.28983,0.015119,0.225432
Hex1125,4,1,13,1.29696,0.015305,0.225432
Hex1125,4,1,14,1.29708,0.015278,0.225432
Hex1125,4,1,15,1.28843,0.015793,0.225432
Hex1125,4,1,16,1.29165,0.015418,0.225432
Hex1125,4,1,17,1.29295,0.015026,0.225432
Hex1125,4,1,18,1.3001,0.015099,0.225432
Hex1125,4,1,19,1.2993,0.015288,0.225432
Hex1125,4,1,20,1.29497,0.015447,0.225432
Hex1125,4,1,21,1.29113,0.015578,0.225432
Hex1125,4,1,22,1.29468,0.015448,0.225432
Hex1125,4,1,23,1.2926,0.015718,0.225432
Hex1125,4,1,24,1.29246,0.015565,0.225432
Hex1125,4,1,25,1.28933,0.015485,0.225432
Hex1125,4,1,26,1.29277,0.015569,0.225432
Hex1125,4,1,27,1.29514,0.015027,0.225432
Hex1125,4,1,28,1.29836,0.015675,0.225432
Hex1125,4,1,29,1.29407,0.015729,0.225432
Hex1125,4,1,30,1.29338,0.015815,0.225432
Hex1125,4,1,31,1.29271,0.015372,0.225432
Hex1125,4,1,32,1.29023,0.015497,0.225432
Hex1125,4,1,33,1.2913,0.015785,0.225432
Hex1125,4,1,34,1.28973,0.015632,0.225432
Hex1125,4,1,35,1.2924,0.015247,0.225432
Hex1125,4,1,36,1.29431,0.015486,0.225432
Hex1125,4,1,37,1.29412,0.015689,0.225432
Hex1125,4,1,38,1.29617,0.015711,0.225432
Hex1125,4,1,39,1.29646,0.015636,0.225432
Hex1125,4,1,40,1.29463,0.01557,0.225432
Hex1125,4,1,41,1.29272,0.015617,0.225432
Hex1125,4,1,42,1.28991,0.015683,0.225432
Hex1125,4,1,43,1.28893,0.015406,0.225432
Hex1125,4,1,44,1.29207,0.015574,0.225432
Hex1125,4,1,45,1.29864,0.01569,0.225432
Hex1125,4,1,46,1.29699,0.015606,0.225432
Hex1125,4,1,47,1.29707,0.01566,0.225432
Hex1125,4,1,48,1.30324,0.015497,0.225432
Hex1125,4,1,49,1.29247,0.015583,0.225432
Hex1125,4,1,50,1.29163,0.015031,0.225432
Hex1125,4,1,51,1.28645,0.015321,0.225432
Hex1125,4,1,52,1.2854,0.015251,0.225432
Hex1125,4,1,53,1.29091,0.015332,0.225432
Hex1125,4,1,54,1.29614,0.015031,0.225432
Hex1125,4,1,55,1.2952,0.015455,0.225432
Hex1125,4,1,56,1.29454,0.015503,0.225432
Hex1125,4,1,57,1.28939,0.014977,0.225432
Hex1125,4,1,58,1.28799,0.015478,0.225432
Hex1125,4,1,59,1.28601,0.015526,0.225432
Hex1125,4,1,60,1.28531,0.015416,0.225432
Hex1125,4,1,61,1.2884,0.015561,0.225432
Hex1125,4,1,62,1.2886,0.01562,0.225432
Hex1125,4,1,63,1.29434,0.015718,0.225432
Hex1125,4,1,64,1.29288,0.0156,0.225432
Hex1125,4,1,65,1.29,0.015331,0.225432
Hex1125,4,1,66,1.29258,0.015593,0.225432
Hex1125,4,1,67,1.29146,0.015585,0.225432
Hex1125,4,1,68,1.28914,0.015577,0.225432
Hex1125,4,1,69,1.28807,0.015345,0.225432
Hex1125,4,1,70,1.28644,0.015663,0.225432
Hex1125,4,1,71,1.29424,0.01582,0.225432
Hex1125,4,1,72,1.2979,0.015632,0.225432
Hex1125,4,1,73,1.29645,0.015779,0.225432
Hex1125,4,1,74,1.29094,0.015844,0.225432
Hex1125,4,1,75,1.29306,0.015661,0.225432
Hex1125,4,1,76,1.29027,0.015645,0.225432
Hex1125,4,1,77,1.28746,0.015664,0.225432
Hex1125,4,1,78,1.28871,0.016054,0.225432
Hex1125,4,1,79,1.28698,0.015507,0.225432
Hex1125,4,1,80,1.29166,0.015498,0.225432
Hex1125,4,1,81,1.29434,0.015175,0.225432
Hex1125,4,1,82,1.30573,0.015047,0.225432
Hex1125,4,1,83,1.29589,0.015198,0.225432
Hex1125,4,1,84,1.29263,0.015016,0.225432
Hex1125,4,1,85,1.28973,0.015238,0.225432
Hex1125,4,1,86,1.2858,0.014886,0.225432
Hex1125,4,1,87,1.29311,0.014671,0.225432
Hex1125,4,1,88,1.28928,0.015433,0.225432
Hex1125,4,1,89,1.29561,0.01507,0.225432
Hex1125,4,1,90,1.29634,0.015424,0.225432
Hex1125,4,1,91,1.29184,0.01514,0.225432
Hex1125,4,1,92,1.29795,0.015226,0.225432
Hex1125,4,1,93,1.29603,0.015258,0.225432
Hex1125,4,1,94,1.29259,0.016577,0.225432
Hex1125,4,1,95,1.29229,0.015338,0.225432
Hex1125,4,1,96,1.29407,0.014969,0.225432
Hex1125,4,1,97,1.29171,0.01553,0.225432
Hex1125,4,1,98,1.29918,0.014905,0.225432
Hex1125,4,1,99,1.30027,0.015386,0.225432
Hex1125,4,1,100,1.29748,0.015582,0.225432
Hex1125,4,2,1,1.29823,0.015669,0.225432
Hex1125,4,2,2,1.29259,0.015472,0.225432
Hex1125,4,2,3,1.29459,0.01525,0.225432
Hex1125,4,2,4,1.291,0.01551,0.225432
Hex1125,4,2,5,1.29069,0.015489,0.225432
Hex1125,4,2,6,1.29494,0.01528,0.225432
Hex1125,4,2,7,1.29831,0.015709,0.225432
Hex1125,4,2,8,1.29611,0.015536,0.225432
Hex1125,4,2,9,1.298,0.015525,0.225432
Hex1125,4,2,10,1.29464,0.015391,0.225432
Hex1125,4,2,11,1.29586,0.015522,0.225432
Hex1125,4,2,12,1.29189,0.015521,0.225432
Hex1125,4,2,13,1.29099,0.015765,0.225432
Hex1125,4,2,14,1.29246,0.015356,0.225432
Hex1125,4,2,15,1.29357,0.01498,0.225432
Hex1125,4,2,16,1.30031,0.015763,0.225432
Hex1125,4,2,17,1.29734,0.015456,0.225432
Hex1125,4,2,18,1.29837,0.015631,0.225432
Hex1125,4,2,19,1.29882,0.015574,0.225432
Hex1125,4,2,20,1.29347,0.015691,0.225432
Hex1125,4,2,21,1.29478,0.015585,0.225432
Hex1125,4,2,22,1.29142,0.015583,0.225432
Hex1125,4,2,23,1.29093,0.015525,0.225432
Hex1125,4,2,24,1.29811,0.01526,0.225432
Hex1125,4,2,25,1.29866,0.015624,0.225432
Hex1125,4,2,26,1.29704,0.015071,0.225432
Hex1125,4,2,27,1.2945,0.015713,0.225432
Hex1125,4,2,28,1.29561,0.015565,0.225432
Hex1125,4,2,29,1.29208,0.015774,0.225432
Hex1125,4,2,30,1.29505,0.015589,0.225432
Hex1125,4,2,31,1.2947,0.015322,0.225432
Hex1125,4,2,32,1.29374,0.015058,0.225432
Hex1125,4,2,33,1.29724,0.015533,0.225432
Hex1125,4,2,34,1.29626,0.015731,0.225432
Hex1125,4,2,35,1.2979,0.015594,0.225432
Hex1125,4,2,36,1.29748,0.01541,0.225432
Hex1125,4,2,37,1.29612,0.01549,0.225432
Hex1125,4,2,38,1.29242,0.015355,0.225432
Hex1125,4,2,39,1.29354,0.015303,0.225432
Hex1125,4,2,40,1.29423,0.015639,0.225432
Hex1125,4,2,41,1.29212,0.015696,0.225432
Hex1125,4,2,42,1.29875,0.015667,0.225432
Hex1125,4,2,43,1.2953,0.015751,0.225432
Hex1125,4,2,44,1.29722,0.015665,0.225432
Hex1125,4,2,45,1.3,0.015427,0.225432
Hex1125,4,2,46,1.29647,0.015248,0.225432
Hex1125,4,2,47,1.29446,0.015555,0.225432
Hex1125,4,2,48,1.29095,0.015686,0.225432
Hex1125,4,2,49,1.29263,0.015495,0.225432
Hex1125,4,2,50,1.29062,0.01503,0.225432
Hex1125,4,2,51,1.29974,0.015557,0.225432
Hex1125,4,2,52,1.29913,0.015448,0.225432
Hex1125,4,2,53,1.29654,0.015743,0.225432
Hex1125,4,2,54,1.29405,0.015679,0.225432
Hex1125,4,2,55,1.29463,0.015627,0.225432
Hex1125,4,2,56,1.29163,0.015231,0.225432
Hex1125,4,2,57,1.2901,0.015441,0.225432
Hex1125,4,2,58,1.29191,0.015773,0.225432
Hex1125,4,2,59,1.29467,0.015475,0.225432
Hex1125,4,2,60,1.29807,0.015648,0.225432
Hex1125,4,2,61,1.29725,0.015648,0.225432
Hex1125,4,2,62,1.29703,0.015841,0.225432
Hex1125,4,2,63,1.29779,0.015504,0.225432
Hex1125,4,2,64,1.29481,0.015367,0.225432
Hex1125,4,2,65,1.28963,0.015501,0.225432
Hex1125,4,2,66,1.29271,0.015378,0.225432
Hex1125,4,2,67,1.28852,0.015709,0.225432
Hex1125,4,2,68,1.29604,0.015572,0.225432
Hex1125,4,2,69,1.29446,0.015729,0.225432
Hex1125,4,2,70,1.29536,0.015559,0.225432
Hex1125,4,2,71,1.29467,0.01558,0.225432
Hex1125,4,2,72,1.29321,0.015655,0.225432
Hex1125,4,2,73,1.28988,0.015659,0.225432
Hex1125,4,2,74,1.28951,0.015593,0.225432
Hex1125,4,2,75,1.293,0.01548,0.225432
Hex1125,4,2,76,1.28957,0.015278,0.225432
Hex1125,4,2,77,1.29632,0.015635,0.225432
Hex1125,4,2,78,1.29846,0.015627,0.225432
Hex1125,4,2,79,1.29606,0.015186,0.225432
Hex1125,4,2,80,1.29434,0.015646,0.225432
Hex1125,4,2,81,1.29321,0.015111,0.225432
Hex1125,4,2,82,1.29005,0.015561,0.225432
Hex1125,4,2,83,1.28987,0.015674,0.225432
Hex1125,4,2,84,1.29025,0.015604,0.225432
Hex1125,4,2,85,1.29295,0.015593,0.225432
Hex1125,4,2,86,1.29779,0.015523,0.225432
Hex1125,4,2,87,1.29366,0.015795,0.225432
Hex1125,4,2,88,1.29761,0.015582,0.225432
Hex1125,4,2,89,1.29491,0.014955,0.225432
Hex1125,4,2,90,1.29682,0.015673,0.225432
Hex1125,4,2,91,1.28935,0.015667,0.225432
Hex1125,4,2,92,1.29046,0.015658,0.225432
Hex1125,4,2,93,1.28852,0.015359,0.225432
Hex1125,4,2,94,1.29029,0.015465,0.225432
Hex1125,4,2,95,1.29479,0.015503,0.225432
Hex1125,4,2,96,1.29629,0.015764,0.225432
Hex1125,4,2,97,1.29326,0.015717,0.225432
Hex1125,4,2,98,1.29557,0.015682,0.225432
Hex1125,4,2,99,1.29199,0.015451,0.225432
Hex1125,4,2,100,1.29087,0.015388,0.225432
Hex1125,4,3,1,1.29229,0.015581,0.225432
Hex1125,4,3,2,1.28758,0.015364,0.225432
Hex1125,4,3,3,1.29091,0.015637,0.225432
Hex1125,4,3,4,1.29877,0.015373,0.225432
Hex1125,4,3,5,1.29577,0.015785,0.225432
Hex1125,4,3,6,1.29561,0.015644,0.225432
Hex1125,4,3,7,1.2939,0.01532,0.225432
Hex1125,4,3,8,1.29225,0.015661,0.225432
Hex1125,4,3,9,1.29115,0.01526,0.225432
Hex1125,4,3,10,1.29043,0.015738,0.225432
Hex1125,4,3,11,1.28801,0.015738,0.225432
Hex1125,4,3,12,1.29484,0.015424,0.225432
Hex1125,4,3,13,1.29649,0.015342,0.225432
Hex1125,4,3,14,1.29493,0.015642,0.225432
Hex1125,4,3,15,1.29277,0.015558,0.225432
Hex1125,4,3,16,1.2945,0.015513,0.225432
Hex1125,4,3,17,1.29423,0.015536,0.225432
Hex1125,4,3,18,1.28982,0.015702,0.225432
Hex1125,4,3,19,1.29049,0.016082,0.225432
Hex1125,4,3,20,1.29077,0.015755,0.225432
Hex1125,4,3,21,1.29763,0.01543,0.225432
Hex1125,4,3,22,1.29549,0.015514,0.225432
Hex1125,4,3,23,1.29309,0.015619,0.225432
Hex1125,4,3,24,1.29541,0.015635,0.225432
Hex1125,4,3,25,1.29547,0.015796,0.225432
Hex1125,4,3,26,1.29211,0.015566,0.225432
Hex1125,4,3,27,1.2908,0.015258,0.225432
Hex1125,4,3,28,1.29109,0.015433,0.225432
Hex1125,4,3,29,1.28911,0.015409,0.225432
Hex1125,4,3,30,1.29901,0.01553,0.225432
Hex1125,4,3,31,1.29775,0.015156,0.225432
Hex1125,4,3,32,1.29813,0.015522,0.225432
Hex1125,4,3,33,1.29445,0.015667,0.225432
Hex1125,4,3,34,1.29559,0.015633,0.225432
Hex1125,4,3,35,1.29146,0.015539,0.225432
Hex1125,4,3,36,1.28858,0.015263,0.225432
Hex1125,4,3,37,1.29029,0.015751,0.225432
Hex1125,4,3,38,1.29434,0.015569,0.225432
Hex1125,4,3,39,1.29693,0.015406,0.225432
Hex1125,4,3,40,1.29483,0.015546,0.225432
Hex1125,4,3,41,1.29767,0.015703,0.225432
Hex1125,4,3,42,1.29554,0.016069,0.225432
Hex1125,4,3,43,1.29346,0.015655,0.225432
Hex1125,4,3,44,1.29074,0.015615,0.225432
Hex1125,4,3,45,1.28972,0.015773,0.225432
Hex1125,4,3,46,1.29039,0.015654,0.225432
Hex1125,4,3,47,1.29149,0.014921,0.225432
Hex1125,4,3,48,1.29638,0.015782,0.225432
Hex1125,4,3,49,1.2952,0.015586,0.225432
Hex1125,4,3,50,1.29658,0.015694,0.225432
Hex1125,4,3,51,1.29242,0.015808,0.225432
Hex1125,4,3,52,1.2931,0.015646,0.225432
Hex1125,4,3,53,1.28927,0.015686,0.225432
Hex1125,4,3,54,1.29185,0.015755,0.225432
Hex1125,4,3,55,1.29062,0.015768,0.225432
Hex1125,4,3,56,1.29153,0.015588,0.225432
Hex1125,4,3,57,1.2981,0.015702,0.225432
Hex1125,4,3,58,1.29701,0.015664,0.225432
Hex1125,4,3,59,1.29793,0.01549,0.225432
