geometry,Dmax,Nfaces,host_mean,host_std,init_mean,init_std,storage_MB,n_runs
Hex1125,4,1,1.2931941,0.004093567285536179,0.015441050000000001,0.00029560738276889295,0.225432,100
Hex1125,4,2,1.2944011,0.002977158123941274,0.015525279999999999,0.0001903551216101955,0.225432,100
Hex1125,4,3,1.2933013,0.0029896007148687044,0.01559008,0.00018741369353719207,0.225432,100
Hex1125,4,4,1.2934206000000001,0.003114047617756764,0.015589120000000001,0.00020042738577773488,0.225432,100
Hex1125,4,5,1.2930091,0.0029604408950237933,0.01555753,0.00021543268441708544,0.225432,100
Hex1125,4,6,1.2938937000000001,0.008251070901416501,0.01556419,0.00021512818330596587,0.225432,100
Hex1125,4,7,1.2930009999999998,0.0028699229215708227,0.015585690000000001,0.00020498064431905417,0.225432,100
Hex1125,4,8,1.2929839,0.0028666902377466434,0.015574600000000001,0.00020029629567369954,0.225432,100
Hex1125,4,9,1.2922099,0.003444950189491973,0.0155683,0.00024292994791906493,0.225432,100
Hex1125,4,10,1.2919398000000002,0.0031366777702441007,0.01553209,0.0002397146070398775,0.225432,100
Hex1125,4,11,1.291026,0.008235681544659833,0.0155729,0.00018884088219418697,0.225432,100
Hex1125,4,12,1.2922292999999998,0.004030005202142165,0.015433490000000001,0.00025788351825950214,0.225432,100
Hex1125,4,13,1.2903028,0.0033229021877712495,0.01538959,0.00026040799747994526,0.225432,100
Hex1125,4,14,1.2899745999999999,0.0033796928974106554,0.01543158,0.00020776930582847028,0.225432,100
Hex1125,4,15,1.2924328,0.008038444756357422,0.01538795,0.00028255391458350854,0.225432,100
Hex1125,4,16,1.2895306,0.0033677018570502596,0.01545386,0.00024245166216144704,0.225432,100
Hex1125,5,1,0.90889501,0.011350501607297921,0.06023984,0.0005108945950709668,1.36642,100
Hex1125,5,2,0.90788297,0.004373732553967637,0.060386350000000005,0.0004872946006039652,1.36642,100
Hex1125,5,3,0.90755248,0.0035791581186055163,0.06046386,0.0005100374717863998,1.36642,100
Hex1125,5,4,0.90716386,0.003956102443802308,0.060450119999999996,0.00048095120985670284,1.36642,100
Hex1125,5,5,0.9072529,0.003735492339732753,0.060492080000000004,0.0005088500142180378,1.36642,100
Hex1125,5,6,0.90893655,0.011037050837950093,0.06036867,0.0004369791168761486,1.36642,100
Hex1125,5,7,0.90840924,0.008326660655940767,0.060498409999999996,0.000432390117880143,1.36642,100
Hex1125,5,8,0.91058206,0.004353238390119718,0.059784569999999995,0.0005075162982903142,1.3325,100
Hex1125,5,9,0.91479544,0.0039427285361149245,0.05935458,0.0004366032843197451,1.31519,100
Hex1125,5,10,0.93323561,0.010987141890736267,0.05595201,0.0005073722657581967,1.22879,100
Hex1125,5,11,0.93367215,0.00795122829514504,0.05608913,0.00045524591323278395,1.22879,100
Hex1125,5,12,0.93548648,0.0036586943508759105,0.055210100000000005,0.00039711941312762345,1.21154,100
