config,geometry,n_runs,oct_init_mean,oct_init_std,oct_host_mean,oct_host_std,oct_storage_MB
patch_full,Hex1125,20,0.3411595,0.0033645337129033495,144.0692,0.19019175918834677,9.81302
patch_full,Hex1944,20,0.3339072,0.0020093440825566067,197.64255,0.1946187839151999,10.2205
patch_full,Hex243,20,0.1043411,0.002186929135135674,89.81421,0.1406172554358671,7.31551
patch_full,Hex576,20,0.2454429,0.002240631957377441,116.46245,0.17415494462358092,9.32362
patch_full,Hex72,20,0.05145,0.0021014935791379167,81.74518,0.6240602506337449,5.37934
patch_full,Poly1560,20,0.40587125,0.0035775479676066232,170.2772,0.44707441980290313,10.0868
patch_full,Poly264,20,0.10817045,0.0016962840959610875,96.58013,0.163601882308051,7.49113
patch_full,Poly468,20,0.15369475,0.002564024219341229,103.0031,0.33203200543257755,8.23364
patch_full,Poly940,20,0.32161069999999997,0.0030371357542055524,129.82805,0.18312275865343328,9.0753
patch_full,Tet1331,20,0.6811966,0.004031348636818578,163.53795,0.4116869627072926,10.1232
patch_full,Tet137,20,0.10153325,0.0006842577903715893,89.103535,0.262665252795865,6.67516
patch_full,Tet1820,20,0.91389415,0.006945391219135321,188.2521,0.48916587435304476,10.2709
patch_full,Tet298,20,0.2632468,0.003303461463693091,101.7144,0.32282362790979646,8.03799
patch_full,Tet427,19,0.4013985263157895,0.0026917814086672796,111.53589473684211,0.6365429107239986,8.96204
patch_noshort,Hex1125,20,0.3440745,0.00262728888680648,144.51395,1.825447384961602,9.81302
patch_noshort,Hex1944,20,0.33083265,0.0021945744168409146,192.23405,0.8034375798634511,10.2205
patch_noshort,Hex243,20,0.1039054,0.0019565326311723253,90.729545,0.716633679067406,7.31551
patch_noshort,Hex576,20,0.2436217,0.0030983951210773256,118.08135,1.6091791393849177,9.32362
patch_noshort,Hex72,20,0.052243200000000004,0.0027747090240998356,82.09685999999999,0.9828586177707929,5.37934
patch_noshort,Poly1560,19,0.40575542105263157,0.002926690021087339,165.83726315789474,1.6428801552999412,10.0868
patch_noshort,Poly264,20,0.10872065,0.0018264077850711278,97.011185,0.5915763164497136,7.49113
patch_noshort,Poly468,20,0.15254215,0.0019442008850885121,104.8764,1.6234699485004984,8.23364
patch_noshort,Poly940,20,0.32310705,0.001972551019285481,129.27495,1.6853457703953436,9.0753
patch_noshort,Tet1331,20,0.6837378,0.005795877887275613,164.04215,2.279087358317381,10.1232
patch_noshort,Tet137,20,0.10156675,0.0015686896937454392,89.139455,1.6008746143987405,6.67516
patch_noshort,Tet1820,20,0.91459065,0.00998361255824554,187.5664,2.3464822585039244,10.2709
patch_noshort,Tet298,20,0.26402015,0.0022547896920252167,102.0545,1.3819477673121174,8.03799
patch_noshort,Tet427,20,0.4038842,0.00444210273347396,112.02675,1.65108158729202,8.96204
standard_ascg,Hex1125,20,0.3449061,0.003596564719137883,143.8035,1.577686197202126,9.81302
standard_ascg,Hex1944,20,0.3323541,0.001973785326672952,192.35795000000002,0.7621956838806666,10.2205
standard_ascg,Hex243,20,0.1035597,0.001620243357289919,90.29218,1.2961338675988845,7.31551
standard_ascg,Hex576,20,0.24460500000000002,0.002859061734205819,118.3911,1.627738272637996,9.32362
standard_ascg,Hex72,20,0.0519054,0.0011052489788564192,82.39944,0.8939408389703131,5.37934
standard_ascg,Poly1560,19,0.4071073684210526,0.0032054632393692163,167.37026315789473,0.33071922332752846,10.0868
standard_ascg,Poly264,20,0.1086155,0.0016037373620128056,97.07622,1.2558333608028018,7.49113
standard_ascg,Poly468,20,0.1538348,0.0022858594974550063,105.3684,1.3547931440474204,8.23364
standard_ascg,Poly940,20,0.321658,0.004258904591064406,129.40525,1.6651001826980396,9.0753
standard_ascg,Tet1331,20,0.68144965,0.005777625475418989,163.2454,1.7542620100771742,10.1232
standard_ascg,Tet137,20,0.102043,0.001083798680081948,89.40431,1.05498407516043,6.67516
standard_ascg,Tet1820,20,0.91371165,0.007493890636448649,185.2501,0.3053927410987177,10.2709
standard_ascg,Tet298,20,0.2646528,0.0025163243159731785,102.03775,1.375142207957149,8.03799
standard_ascg,Tet427,20,0.40365485,0.002728982811752782,111.01305,1.3903829640937433,8.96204
