geometry,acceleration,pop,grid_x,grid_y,grid_z,note
FinalFuelPinHex72,patchSingle,1000,246,246,117,
FinalFuelPinHex243,patchSingle,1000,298,298,142,
FinalFuelPinHex576,patchSingle,1000,492,492,234,
FinalFuelPinHex1125,patchSingle,1000,564,564,269,
FinalFuelPinHex1944,patchSingle,1000,737,737,351,
FinalFuelPinHex3087,patchSingle,1000,822,822,392,
FinalFuelPinHex4608,patchSingle,1000,983,983,468,
FinalFuelPinHex6561,patchSingle,1000,NA,NA,NA,killed/failed
FinalFuelPinHex9000,patchSingle,1000,NA,NA,NA,killed/failed
FinalFuelPinPoly264,patchSingle,1000,624,624,297,
FinalFuelPinPoly436,patchSingle,1000,365,365,174,
FinalFuelPinPoly468,patchSingle,1000,669,669,319,
FinalFuelPinPoly940,patchSingle,1000,754,754,359,
FinalFuelPinPoly1560,patchSingle,1000,918,918,437,
FinalFuelPinPoly5810,patchSingle,1000,1869,1869,890,
FinalFuelPinTet137,patchSingle,1000,810,810,386,
FinalFuelPinTet298,patchSingle,1000,611,611,291,
FinalFuelPinTet427,patchSingle,1000,474,474,226,
FinalFuelPinTet660,patchSingle,1000,803,803,383,
FinalFuelPinTet1331,patchSingle,1000,NA,NA,NA,killed/failed
FinalFuelPinTet1820,patchSingle,1000,NA,NA,NA,killed/failed
FinalFuelPinTet2856,patchSingle,1000,2622,2622,1249,
