geometry,cell_counts
FinalFuelPinHex72,110487 15440 185792 2629
FinalFuelPinHex243,190572 34462 487696 9384
FinalFuelPinHex576,889495 74122 1523184 18521
FinalFuelPinHex1125,1313504 149768 2491328 33338
FinalFuelPinHex1944,2939450 223250 5034800 59136
FinalFuelPinHex3087,4042998 338510 7414544 89502
FinalFuelPinHex6561,8999309 713402 15749424 187016
FinalFuelPinHex9000,13485531 1048000 21022528 268070
FinalFuelPinPoly264,1867876 71542 1308496 24654
FinalFuelPinPoly436,359776 59504 874624 16320
FinalFuelPinPoly468,650530 344406 3043488 38632
FinalFuelPinPoly940,924631 533022 5197704 61747
FinalFuelPinPoly5810,48535438 1232263 23801928 479076
FinalFuelPinTet137,12262 393098 31519000 29876
FinalFuelPinTet298,31494 2722944 8669360 44009
FinalFuelPinTet427,37876 1158034 5851728 46090
FinalFuelPinTet660,69390 5894706 20899040 98766
FinalFuelPinTet1820,13377983 579239 14539528 240347
