maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note
1,2,0.127975,0:00:00,3779.223735,1:02:59,3912.381263,1:05:12,
1,4,0.176829,0:00:00,653.43556,0:10:53,683.905735,0:11:23,
1,6,0.685065,0:00:00,522.268952,0:08:42,563.0740300000001,0:09:23,
1,8,1.5047549999999998,0:00:01,528.747467,0:08:48,570.102023,0:09:30,
1,10,2.288017,0:00:02,527.431841,0:08:47,556.732362,0:09:16,
1,12,3.054414,0:00:03,531.9863710000001,0:08:52,579.374326,0:09:39,
1,14,3.8191070000000003,0:00:03,534.514767,0:08:54,568.103838,0:09:28,
1,16,4.567132,0:00:04,536.1682099999999,0:08:56,565.1033810000001,0:09:25,
1,18,5.286741,0:00:05,525.944871,0:08:45,554.046815,0:09:14,
1,20,6.034532,0:00:06,519.371106,0:08:39,548.4861970000001,0:09:08,
1,22,6.861728,0:00:06,545.957595,0:09:05,565.647378,0:09:25,
1,24,7.645688,0:00:07,526.638861,0:08:46,545.813654,0:09:05,
4,2,0.12487999999999999,0:00:00,3800.124626,1:03:20,3886.612577,1:04:46,
4,4,0.18174099999999999,0:00:00,640.470303,0:10:40,670.6961809999999,0:11:10,
4,6,0.682741,0:00:00,531.9500710000001,0:08:51,562.4391920000002,0:09:22,
4,8,1.5062149999999999,0:00:01,543.8357239999999,0:09:03,573.5193380000001,0:09:33,
4,10,2.305418,0:00:02,544.2077579999999,0:09:04,573.608935,0:09:33,
4,12,3.074266,0:00:03,549.3648589999999,0:09:09,583.33737,0:09:43,
4,14,3.826119,0:00:03,533.1818129999999,0:08:53,572.191284,0:09:32,
4,16,4.607182999999999,0:00:04,554.2445,0:09:14,593.734654,0:09:53,
4,18,5.3734210000000004,0:00:05,568.548095,0:09:28,595.045757,0:09:55,
4,20,6.121599,0:00:06,549.354733,0:09:09,578.760358,0:09:38,
4,22,6.82374,0:00:06,547.9597030000001,0:09:07,583.1932780000001,0:09:43,
4,24,7.585579,0:00:07,566.192771,0:09:26,600.926113,0:10:00,
7,2,0.133535,0:00:00,3932.383159,1:05:32,3956.7406160000005,1:05:56,
7,4,0.18424,0:00:00,676.021963,0:11:16,691.8435220000001,0:11:31,
7,6,0.6839979999999999,0:00:00,543.658824,0:09:03,574.2798650000001,0:09:34,
7,8,1.5063799999999998,0:00:01,564.411667,0:09:24,589.1031979999999,0:09:49,
7,10,2.27326,0:00:02,550.444392,0:09:10,587.987497,0:09:47,
7,12,3.111208,0:00:03,569.701511,0:09:29,592.4006069999999,0:09:52,
7,14,3.8241359999999998,0:00:03,560.428249,0:09:20,592.069136,0:09:52,
